"","GeneID","PATH","Annot"
"2","A2M","04610","Complement and coagulation cascades"
"4","NAT1","00232","Caffeine metabolism"
"5","NAT1","00983","Drug metabolism - other enzymes"
"6","NAT1","01100","Metabolic pathways"
"7","NAT2","00232","Caffeine metabolism"
"8","NAT2","00983","Drug metabolism - other enzymes"
"9","NAT2","01100","Metabolic pathways"
"14","AANAT","00380","Tryptophan metabolism"
"15","AANAT","01100","Metabolic pathways"
"16","AARS1","00970","Aminoacyl-tRNA biosynthesis"
"18","ABAT","00250","Alanine, aspartate and glutamate metabolism"
"19","ABAT","00280","Valine, leucine and isoleucine degradation"
"20","ABAT","00410","beta-Alanine metabolism"
"21","ABAT","00640","Propanoate metabolism"
"22","ABAT","00650","Butanoate metabolism"
"23","ABAT","01100","Metabolic pathways"
"24","ABCA1","02010","ABC transporters"
"25","ABCA1","04975","Fat digestion and absorption"
"26","ABCA2","02010","ABC transporters"
"27","ABCA2","04142","Lysosome"
"28","ABCA3","02010","ABC transporters"
"29","ABCB7","02010","ABC transporters"
"31","ABCA4","02010","ABC transporters"
"32","ABL1","04012","ErbB signaling pathway"
"33","ABL1","04110","Cell cycle"
"34","ABL1","04360","Axon guidance"
"35","ABL1","04722","Neurotrophin signaling pathway"
"36","ABL1","05130","Pathogenic Escherichia coli infection"
"37","ABL1","05131","Shigellosis"
"38","ABL1","05200","Pathways in cancer"
"39","ABL1","05220","Chronic myeloid leukemia"
"40","ABL1","05416","Viral myocarditis"
"41","AOC1","00330","Arginine and proline metabolism"
"42","AOC1","00340","Histidine metabolism"
"43","AOC1","00380","Tryptophan metabolism"
"44","ABL2","04012","ErbB signaling pathway"
"45","ABL2","05416","Viral myocarditis"
"46","ABO","00601","Glycosphingolipid biosynthesis - lacto and neolacto series"
"47","ABO","01100","Metabolic pathways"
"49","ACAA1","00071","Fatty acid degradation"
"50","ACAA1","00280","Valine, leucine and isoleucine degradation"
"51","ACAA1","01040","Biosynthesis of unsaturated fatty acids"
"52","ACAA1","01100","Metabolic pathways"
"53","ACAA1","03320","PPAR signaling pathway"
"54","ACAA1","04146","Peroxisome"
"55","ACACA","00061","Fatty acid biosynthesis"
"56","ACACA","00620","Pyruvate metabolism"
"57","ACACA","00640","Propanoate metabolism"
"58","ACACA","01100","Metabolic pathways"
"59","ACACA","04910","Insulin signaling pathway"
"60","ACACB","00061","Fatty acid biosynthesis"
"61","ACACB","00620","Pyruvate metabolism"
"62","ACACB","00640","Propanoate metabolism"
"63","ACACB","01100","Metabolic pathways"
"64","ACACB","04910","Insulin signaling pathway"
"65","ACACB","04920","Adipocytokine signaling pathway"
"66","ACADL","00071","Fatty acid degradation"
"67","ACADL","01100","Metabolic pathways"
"68","ACADL","03320","PPAR signaling pathway"
"69","ACADM","00071","Fatty acid degradation"
"70","ACADM","00280","Valine, leucine and isoleucine degradation"
"71","ACADM","00410","beta-Alanine metabolism"
"72","ACADM","00640","Propanoate metabolism"
"73","ACADM","01100","Metabolic pathways"
"74","ACADM","03320","PPAR signaling pathway"
"75","ACADS","00071","Fatty acid degradation"
"76","ACADS","00280","Valine, leucine and isoleucine degradation"
"77","ACADS","00650","Butanoate metabolism"
"78","ACADS","01100","Metabolic pathways"
"79","ACADSB","00071","Fatty acid degradation"
"80","ACADSB","00280","Valine, leucine and isoleucine degradation"
"81","ACADSB","01100","Metabolic pathways"
"82","ACADVL","00071","Fatty acid degradation"
"83","ACADVL","01100","Metabolic pathways"
"84","ACAT1","00071","Fatty acid degradation"
"85","ACAT1","00072",NA
"86","ACAT1","00280","Valine, leucine and isoleucine degradation"
"87","ACAT1","00310","Lysine degradation"
"88","ACAT1","00380","Tryptophan metabolism"
"89","ACAT1","00620","Pyruvate metabolism"
"90","ACAT1","00630","Glyoxylate and dicarboxylate metabolism"
"91","ACAT1","00640","Propanoate metabolism"
"92","ACAT1","00650","Butanoate metabolism"
"93","ACAT1","00900","Terpenoid backbone biosynthesis"
"94","ACAT1","01100","Metabolic pathways"
"95","ACAT2","00071","Fatty acid degradation"
"96","ACAT2","00072",NA
"97","ACAT2","00280","Valine, leucine and isoleucine degradation"
"98","ACAT2","00310","Lysine degradation"
"99","ACAT2","00380","Tryptophan metabolism"
"100","ACAT2","00620","Pyruvate metabolism"
"101","ACAT2","00630","Glyoxylate and dicarboxylate metabolism"
"102","ACAT2","00640","Propanoate metabolism"
"103","ACAT2","00650","Butanoate metabolism"
"104","ACAT2","00900","Terpenoid backbone biosynthesis"
"105","ACAT2","01100","Metabolic pathways"
"106","ACAT2","04975","Fat digestion and absorption"
"107","ASIC2","04742","Taste transduction"
"109","ACHE","00564","Glycerophospholipid metabolism"
"111","ACLY","00020","Citrate cycle (TCA cycle)"
"112","ACLY","01100","Metabolic pathways"
"113","ACO1","00020","Citrate cycle (TCA cycle)"
"114","ACO1","00630","Glyoxylate and dicarboxylate metabolism"
"115","ACO1","01100","Metabolic pathways"
"117","ACO2","00020","Citrate cycle (TCA cycle)"
"118","ACO2","00630","Glyoxylate and dicarboxylate metabolism"
"119","ACO2","01100","Metabolic pathways"
"120","ACOX1","00071","Fatty acid degradation"
"121","ACOX1","00592","alpha-Linolenic acid metabolism"
"122","ACOX1","01040","Biosynthesis of unsaturated fatty acids"
"123","ACOX1","01100","Metabolic pathways"
"124","ACOX1","03320","PPAR signaling pathway"
"125","ACOX1","04146","Peroxisome"
"126","ACP1","00740","Riboflavin metabolism"
"127","ACP1","04520","Adherens junction"
"128","ACP2","00740","Riboflavin metabolism"
"129","ACP2","04142","Lysosome"
"130","ACP5","00740","Riboflavin metabolism"
"131","ACP5","04142","Lysosome"
"132","ACP5","04380","Osteoclast differentiation"
"133","ACP5","05323","Rheumatoid arthritis"
"134","ACP3","00740","Riboflavin metabolism"
"137","ACTA2","04270","Vascular smooth muscle contraction"
"138","ACTB","04145","Phagosome"
"139","ACTB","04510","Focal adhesion"
"140","ACTB","04520","Adherens junction"
"141","ACTB","04530","Tight junction"
